Country Name,Year,PM25,PrimarySchoolGross,LifeExpectancy,GDPperCap,ForestArea,EnergyUse,ExportofGnS,RenewableElectricty,WomenParliament,PopulationDensity,LivestockProduction
Jordan,2000,24.2289680813746,,70.064,1570.61002940477,1.10494106980961,903.243088042685,41.8273959357861,0.610004066693778,0.0,61.0487873980054,56.45
Japan,2000,13.1620736916056,,77.72,39169.3595701504,68.2469135802469,4067.03534426909,10.4634942027505,10.2781393693635,7.29166666666667,347.991769547325,92.27
Kazakhstan,2000,16.6954213743656,98.0066375732422,58.144,1180.0444563226,1.16936170685632,2301.832950293,56.6024267995373,14.6734471202556,10.3896103896104,5.74178723561877,65.73
Kenya,2000,21.1420927289239,94.2572402954102,55.332,414.626365130846,6.95995712829884,460.259557885245,21.5875711417625,59.0982298678634,3.57142857142857,53.8406894612925,60.85
Kyrgyz Republic,2000,23.0380260652668,94.7018585205078,64.9,279.621738464365,6.15693430656934,473.380207144503,41.8478618433635,91.6348536601701,2.32558139534884,25.5389051094891,81.19
Cambodia,2000,29.7987214798005,102.792739868164,57.296,296.426687526334,61.0752322682982,273.111060087066,49.3049002706901,8.95982142857143,7.37704918032787,70.6001359619307,99.15
Kiribati,2000,12.1855676905766,105.911437988281,62.895,845.367240231973,1.45679012345679,,10.8521396170662,0.820283370618941,4.8780487804878,109.398765432099,60.32
St. Kitts and Nevis,2000,8.94496340137378,111.089706420898,66.39,9319.65545093525,42.3076923076923,,,0.0,13.3333333333333,174.030769230769,199.76
"Korea, Rep.",2000,25.4379884924397,98.9645385742188,72.3,12710.2995795579,67.1366369479577,3952.36285253717,32.8643016483147,1.97533853310966,5.86080586080586,487.332687124197,76.16
Kuwait,2000,59.028420443273,91.778190612793,74.261,19296.3471698729,0.272166105499439,9493.79658571526,56.4721744466436,0.0,0.0,109.691863075196,36.77
Latin America & Caribbean (excluding high income),2000,25.9764584005199,117.445411682129,67.4889538757519,4290.89542947118,51.5168595566649,1080.92495534022,17.1896959410037,61.1376765250643,15.5121951219512,25.867875695749,100.0
Lao PDR,2000,28.820009114765,105.722198486328,56.776,318.749852236965,75.498266897747,296.828433223862,30.6620036016085,,21.2121212121212,23.5321143847487,72.31
